reg;jour;three_class;P;T;pop;tests;positivite;incidence;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
Auvergne-Rhône-Alpes;2020-05-13;0-19;3;377;1940253.0;19.43045571891913;0.7957559681697612;0.15461901102588166;3.0;377.0;0.15461901102588166;0.7957559681697612;19.43045571891913
Auvergne-Rhône-Alpes;2020-05-13;20-59;24;2253;3980515.0;56.600716238979125;1.0652463382157125;0.6029370571395912;24.0;2253.0;0.6029370571395912;1.0652463382157125;56.600716238979125
Auvergne-Rhône-Alpes;2020-05-13;60+;29;1414;2111609.0;66.96315463705639;2.050919377652051;1.3733603143384974;29.0;1414.0;1.3733603143384974;2.050919377652051;66.96315463705639
Auvergne-Rhône-Alpes;2020-05-13;whole;57;4051;8032377.0;50.43338976743747;1.4070599851888421;0.7096280465919366;57.0;4051.0;0.7096280465919366;1.4070599851888421;50.43338976743747
Auvergne-Rhône-Alpes;2020-05-14;0-19;11;490;1940253.0;25.254438467560675;2.2448979591836733;0.5669363737615661;14.0;867.0;0.7215553847874479;1.6147635524798154;44.6848941864798
Auvergne-Rhône-Alpes;2020-05-14;20-59;44;2717;3980515.0;68.25749934367789;1.6194331983805668;1.1053846047559173;68.0;4970.0;1.7083216618955086;1.3682092555331993;124.85821558265702
Auvergne-Rhône-Alpes;2020-05-14;60+;48;1561;2111609.0;73.92467071318602;3.074951953875721;2.273148106491306;77.0;2975.0;3.6465084208298033;2.588235294117647;140.8878253502424
Auvergne-Rhône-Alpes;2020-05-14;whole;103;4808;8032377.0;59.857748210772485;2.1422628951747087;1.282310329806482;160.0;8859.0;1.9919383763984186;1.8060729201941528;110.29113797820995
Auvergne-Rhône-Alpes;2020-05-15;0-19;6;569;1940253.0;29.32607242457556;1.054481546572935;0.3092380220517633;20.0;1436.0;1.030793406839211;1.392757660167131;74.01096661105537
Auvergne-Rhône-Alpes;2020-05-15;20-59;40;2594;3980515.0;65.16744692583748;1.5420200462606015;1.004895095232652;108.0;7564.0;2.7132167571281607;1.4278159703860391;190.02566250849452
Auvergne-Rhône-Alpes;2020-05-15;60+;32;1651;2111609.0;78.18682341285721;1.9382192610539066;1.515432070994204;109.0;4626.0;5.161940491824008;2.356247297881539;219.07464876309962
Auvergne-Rhône-Alpes;2020-05-15;whole;78;4820;8032377.0;60.00714358900236;1.6182572614107886;0.9710699584942291;238.0;13679.0;2.9630083348926477;1.739893267051685;170.29828156721229
Auvergne-Rhône-Alpes;2020-05-16;0-19;4;235;1940253.0;12.111822530360731;1.702127659574468;0.20615868136784224;24.0;1671.0;1.2369520882070533;1.436265709156194;86.12278914141609
Auvergne-Rhône-Alpes;2020-05-16;20-59;12;1060;3980515.0;26.629720023665282;1.1320754716981132;0.3014685285697956;120.0;8624.0;3.0146852856979565;1.391465677179963;216.6553825321598
Auvergne-Rhône-Alpes;2020-05-16;60+;9;706;2111609.0;33.43422006630962;1.2747875354107647;0.42621526996711984;118.0;5332.0;5.5881557617911275;2.213053263315829;252.50886882940924
Auvergne-Rhône-Alpes;2020-05-16;whole;25;2001;8032377.0;24.911679319832725;1.249375312343828;0.3112403713122529;263.0;15680.0;3.2742487062049004;1.677295918367347;195.209960887045
Auvergne-Rhône-Alpes;2020-05-17;0-19;1;63;1940253.0;3.2469992315435157;1.5873015873015872;0.05153967034196056;25.0;1734.0;1.2884917585490139;1.441753171856978;89.3697883729596
Auvergne-Rhône-Alpes;2020-05-17;20-59;7;214;3980515.0;5.376188759494688;3.2710280373831773;0.1758566416657141;127.0;8838.0;3.1905419273636704;1.4369766915591764;222.03157129165447
Auvergne-Rhône-Alpes;2020-05-17;60+;5;360;2111609.0;17.048610798684795;1.3888888888888888;0.23678626109284437;123.0;5692.0;5.824942022883971;2.1609276177090653;269.55747962809403
Auvergne-Rhône-Alpes;2020-05-17;whole;13;637;8032377.0;7.930404661036204;2.0408163265306123;0.16184499308237152;276.0;16317.0;3.4360936992872717;1.6914874057731202;203.1403655480812
Auvergne-Rhône-Alpes;2020-05-18;0-19;4;575;1940253.0;29.635310446627322;0.6956521739130435;0.20615868136784224;29.0;2309.0;1.494650439916856;1.2559549588566479;119.00509881958693
Auvergne-Rhône-Alpes;2020-05-18;20-59;30;2956;3980515.0;74.26174753769298;1.0148849797023005;0.7536713214244891;157.0;11794.0;3.9442132487881594;1.331185348482279;296.29331882934747
Auvergne-Rhône-Alpes;2020-05-18;60+;39;1886;2111609.0;89.31577768422089;2.067868504772004;1.846932836524186;162.0;7578.0;7.671874859408157;2.137767220902613;358.87325731231493
Auvergne-Rhône-Alpes;2020-05-18;whole;73;5419;8032377.0;67.46446288564394;1.3471120132865844;0.9088218842317783;349.0;21736.0;4.34491558351905;1.6056312108943687;270.6048284337252
Auvergne-Rhône-Alpes;2020-05-19;0-19;6;664;1940253.0;34.22234110706181;0.9036144578313252;0.3092380220517633;35.0;2973.0;1.8038884619686195;1.1772620248906829;153.22743992664874
Auvergne-Rhône-Alpes;2020-05-19;20-59;33;3096;3980515.0;77.77888037100728;1.065891472868217;0.829038453566938;190.0;14890.0;4.773251702355098;1.2760241773002015;374.0721992003547
Auvergne-Rhône-Alpes;2020-05-19;60+;33;1870;2111609.0;88.5580616487238;1.7647058823529411;1.5627893232127728;195.0;9448.0;9.23466418262093;2.0639288738357324;447.4313189610387
Auvergne-Rhône-Alpes;2020-05-19;whole;72;5630;8032377.0;70.09133161951935;1.2788632326820604;0.8963722693792884;421.0;27366.0;5.241287852898338;1.538405320470657;340.6961600532445
Auvergne-Rhône-Alpes;2020-05-20;0-19;5;721;1940253.0;37.16010231655356;0.6934812760055479;0.25769835170980276;37.0;3317.0;1.9069678026525407;1.1154657823334337;170.95708652428317
Auvergne-Rhône-Alpes;2020-05-20;20-59;37;2760;3980515.0;69.337761571053;1.3405797101449275;0.9295279630902031;203.0;15397.0;5.099842608305709;1.3184386568812105;386.8092445324286
Auvergne-Rhône-Alpes;2020-05-20;60+;18;1686;2111609.0;79.84432724050711;1.0676156583629894;0.8524305399342397;184.0;9720.0;8.713734408216673;1.8930041152263373;460.31249156448945
Auvergne-Rhône-Alpes;2020-05-20;whole;60;5167;8032377.0;64.32715994281642;1.1612154054577124;0.746976891149407;424.0;28482.0;5.278636697455809;1.488659504248297;354.58993022862353
Auvergne-Rhône-Alpes;2020-05-21;0-19;1;94;1940253.0;4.844729012144293;1.0638297872340425;0.05153967034196056;27.0;2921.0;1.391571099232935;0.9243409791167408;150.54737706886678
Auvergne-Rhône-Alpes;2020-05-21;20-59;5;305;3980515.0;7.662325101148973;1.639344262295082;0.1256118869040815;164.0;12985.0;4.120069890453873;1.262995764343473;326.21407028989967
Auvergne-Rhône-Alpes;2020-05-21;60+;9;331;2111609.0;15.675250484346298;2.719033232628399;0.42621526996711984;145.0;8490.0;6.866801571692486;1.707891637220259;402.0630713356497
Auvergne-Rhône-Alpes;2020-05-21;whole;15;730;8032377.0;9.088218842317785;2.054794520547945;0.18674422278735175;336.0;24404.0;4.183070590436679;1.376823471562039;303.8204008601688
